Word,Count,Sense,Definition,Example 1,Example 2
tap dance,9,,,,c 07033652 n 0000 + 00528909 n 0102 01 + 02 00 | perform a tap dance
tar,3,,coat with tar,tar the roof,tar the roads
tar-and-feather,15,,smear the body of (someone) with tar and feathers,done in some societies as punishment,The thief was tarred and feathered
target,6,,intend (something) to move towards a certain goal,He aimed his fists towards his opponent's face,criticism directed at her superior
tarnish,7,,"make dirty or spotty, as by exposure to air",also used metaphorically,The silver was tarnished by the long exposure to the air
task,4,,assign a task to,I tasked him with looking after the children,
tauten,6,,become taut or tauter,Your muscles will firm when you exercise regularly,the rope tautened
tax,3,,levy a tax on,The State taxes alcohol heavily,Clothing is not taxed in our state
teach,5,,impart skills or knowledge to,I taught them French,He instructed me in building a boat
tear,4,,separate or cause to separate abruptly,The rope snapped,tear the paper
tear,4,,move quickly and violently,The car tore down the street,He came charging into my office
teargas,7,,attack with teargas,subject to teargas fumes,The students were teargassed during the riot
tease,5,,harass with persistent criticism or carping,The children teased the new teacher,Don't ride me so hard over my failure
tease,5,,"to arouse hope, desire, or curiosity without satisfying them",The advertisement is intended to tease the customers,She has a way of teasing men with her flirtatious behavior
tee,3,,,place on a tee,tee golf balls
teem,4,,"be teeming, be abuzz",The garden was swarming with bees,The plaza is teeming with undercover policemen
teethe,6,,grow teeth,cut the baby teeth,The little one is teething now
telecast,8,,,broadcast via television,The Royal wedding was televised
telescope,9,,crush together or collapse,"In the accident, the cars telescoped",my hiking sticks telescope and can be put into the backpack
tell,4,narrate,narrate or give a detailed account of,Tell what happened,The father told a story to his child
tend,4,be given,have a tendency or disposition to do or be something,be inclined,She tends to be nervous before her lectures
tense,5,,increase the tension on,alternately relax and tense your calf muscle,tense the rope manually before tensing the spring
tenure,6,,,give life-time employment to,She was tenured after she published her book
terrace,7,,,provide (a house) with a terrace,We terrassed the country house
test,4,,"put to the test, as for its quality, or give experimental use to",This approach has been tried with good results,Test this recipe
test drive,10,,,test a vehicle by driving it,I want to test drive the new Porsche
testify,7,attest | take the stand,,give testimony in a court of law,
testify,7,bear witness | prove,,provide evidence for,The blood test showed that he was the father
thicken,7,,become thick or thicker,The sauce thickened,The egg yolk will inspissate
thicken,7,inspissate |,make thick or thicker,Thicken the sauce,inspissate the tar so that it becomes pitch
think,5,opine | suppose,"expect, believe, or suppose",I imagine she earned a lot of money with her new novel,I thought to find her in a bad state
think,5,believe | consider | conceive,judge or regard,look upon,judge
think,5,,focus one's attention on a certain state,Think big,think thin
think,5,,imagine or visualize,Just think--you could be rich one day,Think what a scene it must have been!
think about,11,,"have on one's mind, think about actively",I'm thinking about my friends abroad,She always thinks about her children first
think d,7,,ponder,"reflect on, or reason about",Think the matter through
think of,8,repute,look on as or consider,she looked on this affair as a joke,He thinks of himself as a brilliant musician
think of,8,have in mind | mean |,intend to refer to,I'm thinking of good food when I talk about France,"Yes, I meant you when I complained about people who gossip!"
think up,8,,devise or invent,He thought up a plan to get rich quickly,no-one had ever thought of such a clever piece of software
thread,6,,pass through or into,thread tape,thread film
threaten,8,,to be a menacing indication of something,The clouds threaten rain,Danger threatens
thrive,6,,make steady progress,be at the high point in one's career or reach a high point in historical significance or importance,The new student is thriving
throb,5,,pulsate or pound with abnormal force,my head is throbbing,Her heart was throbbing
throw,5,thrust |,place or put with great energy,She threw the blanket around the child,thrust the money in the hands of the beggar
throw,5,flip | switch,cause to go on or to be engaged or set in operation,switch on the light,throw the lever
throw,5,,"to put into a state or activity hastily, suddenly, or carelessly",Jane threw dinner together,throw the car into reverse
thrust,6,stuff,press or force,Stuff money into an envelope,She thrust the letter into his hand
thrust,6,,push upward,The front of the trains that had collided head-on thrust up into the air,
thrust,6,,,force (molten rock) into pre-existing rock,
thump,5,,"hit hard with the hand, fist, or some heavy instrument",the salesman pounded the door knocker,a bible-thumping Southern Baptist
thunder,7,,to make or produce a loud noise,The river thundered below,The engine roared as the driver pushed the car to full throttle
thunder,7,,be the case that thunder is being heard,"Whenever it thunders, my dog crawls under the bed",
thwart,6,,"hinder or prevent (the efforts, plans, or desires) of",What ultimately frustrated every challenger was Ruth's amazing September surge,foil your opponent
tick,4,ticktock,make a sound like a clock or a timer,the clocks were ticking,the grandfather clock beat midnight
ticket,6,,issue a ticket or a fine to as a penalty,I was fined for parking on the wrong side of the street,Move your car or else you will be ticketed!
tide over,9,,suffice for a period between two points,This money will keep us going for another year,
tie,3,,limit or restrict to,I am tied to UNIX,These big jets are tied to large airports
tie down,8,,secure with or as if with ropes,tie down the prisoners,tie up the old newspapers and bring them to the recycling shed
tie up,6,,restrain from moving or operating normally,Traffic is tied up for miles around the bridge where the accident occurred,
till,4,,,"work land as by ploughing, harrowing, and manuring, in order to make it ready for cultivation",till the soil
tinge d color,13,,affect as in thought or feeling,My personal feelings color my judgment in this case,The sadness tinged his life
tinker,6,,try to fix or mend,Can you tinker with the T.V. set--it's not working right,She always fiddles with her van on the weekend
tinsel,6,,impart a cheap brightness to,his tinseled image of Hollywood,
tint,4,,color lightly,her greying hair was tinged blond,the leaves were tinged red in November
tintinnabulate,14,,ring or sound like a small bell,,
tip,3,,"give a tip or gratuity to in return for a service, beyond the compensation agreed on",Remember to tip the waiter,fee the steward
tithe,5,,pay one tenth of,"pay tithes on, especially to the church",He tithed his income to the Church
toast,5,,propose a toast to,Let us toast the birthday girl,Let's drink to the New Year
toe,3,,touch with the toe,,
toe,3,,,hit (a golf ball) with the toe of the club,
toggle,6,,release by a toggle switch,toggle a bomb from an airplane,
tolerate,8,,,have a tolerance for a poison or strong drug or pathogen or environmental condition,The patient does not tolerate the anti-inflammatory drugs we gave him
